name,primary_channel,secondary_channel,med_channel,med_div,mile,side,address,desc,bus_stop,bus_side,kind,formatted_address,lat,lon
H02R,R1.W,CWW,3-3,A,2.1,R,250 W. UNION ST. ASHLAND,Middle of oval driveway of Waterview Lodge Assisted Living,,,Hydration,"250 W Union St, Ashland, MA 01721, USA",42.2421176,-71.481065
H02L,R1.W,CWW,3-16,A,2.2,L,221 W UNION ST ASHLAND,End of guard rail,,,Hydration,"221 W Union St, Ashland, MA 01721, USA",42.244108,-71.4806139
H03R,R1.W,CWW,3-16,A,3.1,R,369 UNION ST ASHLAND,,,,Hydration,"369 Union St, Ashland, MA 01721, USA",42.2558858,-71.4653478
H03L,R1.W,CWW,3-16,A,3.2,L,357 UNION ST ASHLAND,,,,Hydration,"357 Union St, Ashland, MA 01721, USA",42.2560699,-71.4643743
M01,R1.W,CWW,3-3,A,3.1,L,1 WEST UNION ST ASHLAND,"Grass area, Union St & Summer St (W. Union)",175 Cherry St,L,Medical,"Parking lot, 1 W Union St, Ashland, MA 01721, USA",42.2555442,-71.4677026
H04R,R1.W,CWW,3-16,A,4.1,R,15 WAVERLY ST ASHLAND,Just before Ashland Landscape Supply on Right,,,Hydration,"15 Waverly St, Ashland, MA 01721, USA",42.2625192,-71.4490371
H04L,R1.W,CWW,3-16,A,4.2,L,18 WAVERLY ST ASHLAND,Just past Ashland Landscape Supply on Left,,,Hydration,"18 Waverly St, Ashland, MA 01721, USA",42.2628805,-71.4495255
H05R,R1.W,CWW,3-16,A,5.2,R,1025 WAVERLY ST FRAMINGHAM,Waverly Ln,,,Hydration,"1025 Waverly St, Framingham, MA 01702, USA",42.2727482,-71.4412304
H05L,R1.W,CWW,3-16,A,5.3,L,995 WAVERLY ST FRAMINGHAM,,,,Hydration,"995 Waverly St, Framingham, MA 01702, USA",42.2735548,-71.4395327
H06R,R1.E,CWW,3-16,A,6.0,R,684 WAVERLY ST FRAMINGHAM,Isla Restaurant,,,Hydration,"684 Waverly St, Framingham, MA 01702, USA",42.273138,-71.4266827
H06L,R1.E,CWW,3-16,A,6.1,L,650 WAVERLY ST FRAMINGHAM,Before AL Prime Gas Station (near Fountain St),,,Hydration,"650 Waverly St, Framingham, MA 01702, USA",42.2736168,-71.42580319999999
M02,R1.E,CWW,3-3,A,6.15,L,11 FOUNTAIN ST FRAMINGHAM,Columbus Club parking lot 11 Fountain St.,11 Fountain St.,L,Medical,"11 Fountain St, Framingham, MA 01702, USA",42.2746219,-71.4254175
M03,R1.E,CWW,3-3,A,7.0,L,228 WAVERLY ST FRAMINGHAM,In the area of 5-7 Bishop St. / across railroad tracks opposite Shell station at 228 Waverly St.,2 Bishop St,R,Medical,"228 Waverly St, Framingham, MA 01702, USA",42.2782184,-71.409077
H07R,R1.E,CWW,3-16,A,7.1,R,186 WAVERLY ST FRAMINGHAM,Vacant building just before Burger King,,,Hydration,"186 Waverly St, Framingham, MA 01702, USA",42.2783,-71.40788069999999
H07L,R1.E,CWW,3-16,A,7.2,L,124 WAVERLY ST FRAMINGHAM,Across from Direct Auto Mall,,,Hydration,"124 Waverly St, Framingham, MA 01702, USA",42.279068,-71.40496
H08R,R1.E,CWW,3-16,A,8.0,R,247 WEST CENTRAL ST NATICK,Natick Green sign before Newfield Drive,,,Hydration,"247 W Central St, Natick, MA 01760, USA",42.2821581,-71.3904087
H08L,R1.E,CWW,3-16,A,8.1,L,233 WEST CENTRAL ST NATICK,Carlin Insurance,,,Hydration,"Parking lot, 233 W Central St, Natick, MA 01760, USA",42.2825605,-71.3869821
M04,R1.E,CWW,3-3,A,8.5,L,181 WEST CENTRAL ST NATICK,"Area of Henry Wilson Memorial Park, Natick",116 Speen St,R,Medical,"181 W Central St, Natick, MA 01760, USA",42.28270089999999,-71.3808949
H09R,R1.E,CWW,3-16,A,8.9,R,117 WEST CENTRAL ST NATICK,Across from Minuteman Press,,,Hydration,"117 W Central St, Natick, MA 01760, USA",42.2835933,-71.3716286
H09L,R1.E,CWW,3-16,A,9.0,L,115 WEST CENTRAL ST NATICK,Delucca's,,,Hydration,"115 W Central St, Natick, MA 01760, USA",42.28369550000001,-71.3709193
H10R,R2,CWW,3-16,A,10.1,R,36 WEST CENTRAL ST NATICK,Before Palmer Ave,,,Hydration,"36 W Central St, Natick, MA 01760, USA",42.2830688,-71.3512164
H10L,R2,CWW,3-16,A,10.2,L,33 WEST CENTRAL ST NATICK,Across from Palmer Ave,,,Hydration,"33 W Central St, Natick, MA 01760, USA",42.2836481,-71.3502767
M05,R2,CWW,3-3,A,10.8,R,90 EAST CENTRAL ST NATICK,Opposite Morse Tavern,4 Marion St,L,Medical,"90 E Central St, Natick, MA 01760, USA",42.285476,-71.3397619
